peer_id,person_id,conditions,symptoms,treatments,demographics,lifestyle
9,25,0.556569,,0.766941,0.386364,0.000000
10,11,0.634210,0.613640,0.560334,0.491803,0.833333
10,12,0.659181,0.393423,0.579315,0.984127,0.833333
10,13,0.616410,0.580785,0.479390,0.475410,0.333333
10,14,0.624100,0.568580,0.499540,0.962121,0.500000
10,15,0.723446,,0.670123,0.462121,0.333333
10,16,0.616410,,0.670387,0.948529,0.500000
10,17,0.616410,,0.584504,0.442623,0.833333
10,18,0.809330,,0.688652,0.459016,0.500000
10,19,0.809330,,0.674048,0.923611,0.333333
10,20,0.784090,0.510421,0.555620,0.417808,0.333333
10,21,0.809330,,0.534551,0.462121,0.333333
10,22,0.666257,0.554152,0.493077,0.412162,0.500000
10,23,0.659077,0.604219,0.568494,0.918033,0.500000
10,24,0.616410,0.639236,0.660379,0.483607,0.333333
10,25,0.563287,,0.647110,0.962121,0.666667
11,12,0.540651,0.382761,0.586634,0.476190,0.666667
11,13,0.493675,0.705726,0.448123,0.983333,0.500000
11,14,0.582394,0.435779,0.521541,0.454545,0.333333
11,15,0.563243,,0.693076,0.954545,0.166667
11,16,0.493675,,0.674484,0.441176,0.333333
11,17,0.493675,,0.608548,0.950000,1.000000
11,18,0.689691,,0.691721,0.966667,0.333333
11,19,0.689691,,0.670662,0.416667,0.166667
11,20,0.650250,0.696416,0.602219,0.910959,0.500000
11,21,0.689691,,0.545450,0.954545,0.166667
11,22,0.551459,0.595014,0.509379,0.905405,0.333333
11,23,0.632285,0.683199,0.589426,0.425000,0.333333
11,24,0.493675,0.673751,0.668324,0.991667,0.500000
11,25,0.513791,,0.659597,0.454545,0.833333
12,13,0.664023,0.334482,0.463301,0.460317,0.166667
12,14,0.573235,0.416448,0.532835,0.977273,0.333333
12,15,0.610446,,0.693696,0.477273,0.500000
12,16,0.664023,,0.681404,0.963235,0.333333
12,17,0.664023,,0.612936,0.428571,0.666667
12,18,0.630747,,0.704295,0.444444,0.333333
12,19,0.630747,,0.703513,0.937500,0.500000
12,20,0.648419,0.296427,0.600782,0.431507,0.166667
12,21,0.630747,,0.534788,0.477273,0.500000
12,22,0.669713,0.405327,0.517445,0.425676,0.333333
12,23,0.591765,0.350091,0.580942,0.904762,0.333333
12,24,0.664023,0.403319,0.661976,0.468254,0.166667
12,25,0.554233,,0.704139,0.977273,0.500000
13,14,0.493203,0.417689,0.389023,0.439394,0.833333
13,15,0.699680,,0.572113,0.939394,0.166667
13,16,1.000000,,0.590450,0.426471,0.833333
13,17,1.000000,,0.485591,0.965517,0.500000
13,18,0.598082,,0.597814,0.982759,0.833333
13,19,0.598082,,0.581050,0.402778,0.666667
13,20,0.649870,0.655340,0.444660,0.897260,1.000000
13,21,0.598082,,0.482882,0.939394,0.666667
13,22,0.713874,0.579462,0.611181,0.891892,0.833333
13,23,0.513646,0.643802,0.467571,0.439655,0.833333
13,24,1.000000,0.638949,0.562872,0.991525,1.000000
13,25,0.657432,,0.549742,0.439394,0.333333
14,15,0.545729,,0.592627,0.500000,0.333333
14,16,0.493203,,0.573831,0.985294,1.000000
14,17,0.493203,,0.548425,0.409091,0.333333
14,18,0.649073,,0.594481,0.424242,1.000000
14,19,0.649073,,0.572977,0.958333,0.833333
14,20,0.618856,0.347965,0.552928,0.452055,0.833333
14,21,0.649073,,0.446973,0.500000,0.833333
14,22,0.561151,0.542697,0.464402,0.445946,1.000000
14,23,0.615750,0.473328,0.510700,0.886364,1.000000
14,24,0.493203,0.557209,0.568367,0.446970,0.833333
14,25,0.500842,,0.583175,1.000000,0.166667
15,16,0.699680,,0.855520,0.485294,0.333333
15,17,0.699680,,0.717649,0.909091,0.166667
15,18,0.763913,,0.869479,0.924242,0.333333
15,19,0.763913,,0.845500,0.458333,0.500000
15,20,0.756363,,0.668661,0.952055,0.166667
15,21,0.763913,,0.662389,1.000000,0.500000
15,22,0.645045,,0.590971,0.945946,0.333333
15,23,0.576024,,0.697867,0.386364,0.333333
15,24,0.699680,,0.825300,0.946970,0.166667
15,25,0.570851,,0.825621,0.500000,0.000000
16,17,1.000000,,0.734328,0.397059,0.333333
16,18,0.598082,,0.884468,0.411765,1.000000
16,19,0.598082,,0.870412,0.972222,0.833333
16,20,0.649870,,0.667846,0.465753,0.833333
16,21,0.598082,,0.654759,0.485294,0.833333
16,22,0.713874,,0.571624,0.459459,1.000000
16,23,0.513646,,0.712150,0.875000,1.000000
16,24,1.000000,,0.854719,0.433824,0.833333
16,25,0.657432,,0.793169,0.985294,0.166667
17,18,0.598082,,0.737613,0.982143,0.333333
17,19,0.598082,,0.705723,0.375000,0.166667
17,20,0.649870,,0.666031,0.869863,0.500000
17,21,0.598082,,0.537548,0.909091,0.166667
